Mineral,Category,Group,Formula,IMA status,Crystal system,Crystal class,Space group,Color,Crystal habit,Twinning,Cleavage,Fracture,Mohs scale,Luster,Streak,Diaphaneity,Specific gravity,Optical properties,Refractive index,Birefringence,Paleochroism,Melting point,Solubility,Common impurities,Other characteristics
Romanèchite,Oxide minerals,C2/m,"(Ba,H2O)2(Mn4+,Mn3+)5O10",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6–6.5,Submetallic,Blue-black,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Romeite,Minerals,Unknown,"(Ca,Fe,Mn,Na)2(Sb,Ti)2O6(O,OH,F)",Unknown,hexoctahedral,Unknown,Unknown,Honey-yellow,Unknown,Unknown,Unknown,Unknown,5.5–6.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Rosasite,Carbonate mineral,P21/a,"(Cu,Zn)2(CO3)(OH)2",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Blue, bluish green, green",Acicular crystals as radiating fibrous clusters; botryoidal; mammillary; encrustations,On {100},Perfect on {100} and {010},"Splintery, fibrous",4,"Silky, vitreous to dull",Light blue or green,Unknown,4–4.2,Biaxial (−),nα= 1.672 – 1.688 nβ= 1.796 – 1.830 nγ= 1.811 – 1.831,δ = 0.139 – 0.143,Strong: X = pale emerald green or colourless;  Y = dark emerald green or pale blue; Z = dark emerald green or pale blue,Unknown,"Effervescesin cold, dilutehydrochloric acid",Unknown,Unknown
Roscoelite,Phyllosilicateminerals,C2/m,426.53 g/mol,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Unknown,"scales, fans,druses,rosettes, fibrous orfeltedaggregate.",Unknown,"Perfect plane {0,0,1}",platy,1,Unknown,Unknown,semi-transparent totranslucent,2.92 - 2.96,Biaxial (-),nα=1.60 nβ=1.66 nγ=1.67,δ =,olive green to green-brown,Unknown,Unknown,Unknown,Unknown
Roselite,Arsenate minerals,P21/c,"Ca2(Co2+, Mg)[AsO4]2·H2O+",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Dark rose red, pink",Elongated crystals and spherical aggregates anddruses,"Common as composition plane, contact twins and fourlings",{010} Perfect,Unknown,3.5,Vitreous,Light red,Unknown,3.69,Biaxial (−),nα= 1.725 nβ= 1.728 nγ= 1.735,Unknown,"(Dark rose) X: Dark rose,Y: Pale rose,Z: Paler rose(Light rose) X: Pale rose,Y: Paler rose,Z: Palest rose",Unknown,Unknown,Unknown,Unknown
Rosenbergite,Minerals,P4/n(no. 85),AlF3·3H2O,Unknown,Tetragonal,4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3–3.5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Rosickýite,Native element mineral,P2/c,S,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Colorless to pale yellow, green tinge","Equidimensional to thin tabular crystals, efflorescences","On {101}, with twin lamellae parallel to [010]",None,Unknown,2 - 3,Adamantine,Unknown,Transparent to translucent,2.07,Biaxial (-),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Routhierite,Sulfosalt mineral,I4mm,"Tl(Cu,Ag)(Hg,Zn)2(As,Sb)2S6",Unknown,Tetragonal,Ditetragonal pyramidal (4mm)H-M symbol: (4mm),Unknown,Violet-red,"Anhedralgrains,xenomorphicgrains and veinlets",Microscopic polysynthetic twinlamellae,2; two perpendicular,Unknown,3.5,Metallic,Unknown,Opaque,Unknown,Unknown,Unknown,Unknown,Weak,Unknown,Unknown,Unknown,Unknown
Rozenite,Sulfate mineral,P21/n,Fe2+SO4·4(H2O),Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Colorless, white, pale green",As concretions and nodules; most commonly as powdery efflorescences or coatings onmelanterite,Unknown,Unknown,Unknown,2–3,Vitreous to dull,White,Semitransparent,2.29,Biaxial (−),nα = 1.526 – 1.528 nβ = 1.536 – 1.537 nγ = 1.541 – 1.545,Unknown,Unknown,Unknown,Water soluble,Unknown,Unknown
Rubicline,Tectosilicateminerals,B2/m(no. 12),313.11 g/mol,Approved (1998),Monoclinic,Prismatic(2/m),Unknown,Colorless,Unknown,Unknown,{001},Unknown,6,Vitreous,Unknown,Transparent,Unknown,biaxial,nα= 1.520 nβ= 1.524 nγ= 1.527,δ = 0.007,Unknown,Unknown,Unknown,Unknown,Radioactive
Ruizite,Sorosilicate,P21/c,Ca2Mn2Si4O11(OH)4·2H2O[1],Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Orange, red-brown",Unknown,Common on {100},Unknown,Unknown,5,Unknown,Apricot,Translucent,Unknown,Biaxial (-),nα= 1.663nβ= 1.715nγ= 1.734,δ = 0.071,Unknown,Unknown,Unknown,Unknown,Unknown
Ruthenium,Unknown,group 8,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"2607K​(2334 °C, ​4233 °F)",Unknown,Unknown,Unknown
Rutherfordine,Carbonate mineral,Imm2,UO2CO3,Unknown,Orthorhombic,Pyramidal (mm2)H–M Symbol: (mm2),Unknown,Unknown,"Crystals are Lathlike, elongated crystals commonly radiating, fibrous, matted; earthy to very fine-grained masses.",Unknown,"perfect on {010}, good on {001}",Unknown,Unknown,Unknown,Yellow,Transparent,5.7,Biaxial (+),nα= 1.700 - 1.723 nβ= 1.716 - 1.730 nγ= 1.755 - 1.795,δ = 0.055 - 0.072,"Visible X= colorless, Y= pale yellow, Z= pale greenish yellow",Unknown,Unknown,Unknown,Radioactive
Rutile,Oxide minerals,P42/mnm,TiO2,Unknown,Tetragonal,Ditetragonal dipyramidal (4/mmm)H-M symbol: (4/m 2/m 2/m),Unknown,"Brown, reddish brown, blood red, red, brownish yellow, pale yellow, yellow, pale blue, violet, rarely grass-green, grayish black; black if high in Nb–Ta","Acicular toPrismaticcrystals, elongated and striated parallel to [001]","Common on {011}, or {031}; as contact twins with two, six, or eight individuals, cyclic, polysynthetic","{110} good, {100} moderate, parting on {092} and {011}",Unevento sub-conchoidal,6.0–6.5,Adamantineto metallic,Bright red to dark red,"Opaque, transparent in thin fragments",4.23 increasing with Nb–Ta content,Uniaxial (+),"nω= 2.613,nε= 2.909 (589 nm)",0.296 (589 nm),Weak to distinct brownish red-green-yellow,Unknown,Insoluble inacids,"Fe, Nb, Ta",Strongly anisotropic
Rynersonite,Minerals,Unknown,"(Ca(Ta,Nb)2O6)",Unknown,Unknown,Unknown,Unknown,"Off-white, pale pink",Unknown,Unknown,Unknown,Unknown,Unknown,Dull,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sabatierite,Selenide mineral,Unknown,695.45 gm,Unknown,Orthorhombic,Selenides,Unknown,Unknown,"Aggregates, Microscopic crystals",Unknown,Unknown,Unknown,2.5,Metallic,Unknown,Opaque,Unknown,Unknown,Unknown,Unknown,"Distinct, in light brown to light blue",Unknown,Unknown,Unknown,Unknown
Sabieite,Minerals,Unknown,(NH4)Fe3+(SO4)2,Unknown,Unknown,Unknown,Unknown,White,Unknown,Unknown,Unknown,Unknown,Unknown,Earthy,White,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sabinaite,Carbonate mineral,B2/b,Na4Zr2TiO4(CO3)4,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Colorless to white,Unknown,Unknown,Unknown,Unknown,Unknown,Vitreous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sacrofanite,Tectosilicateminerals,P62c,"(Na,Ca)9(Si,Al)12O24(SO4,CO3,OH,Cl)4·n(H2O)",Unknown,Hexagonal,Ditrigonal dipyramidal (6m2)H-M symbol: (6m2),Unknown,Colorless,Unknown,Unknown,Perfect on {0001} {0110},Unknown,5+1⁄2- 6,Pearly to vitreous,white,Transparent,2.423,Uniaxial negative,"nω= 1.505, nε= 1.486 (both ± 0.001)",0.019,Unknown,Unknown,Unknown,Unknown,Unknown
Safflorite,Arsenide mineral,Pnnm,"(Co,Fe)As2",Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Tin white, tarnishes to gray","Prismatic crystals, massive to fibrous",Forms cruciform penetration twins,Distinct on {100},Uneven to conchoidal,4.5–5.5,Metallic,Grayish black,Opaque,6.9–7.3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sal ammoniac,Halide mineral,Pm3m,53.49 g/mol,Unknown,Isometric,Hexoctahedral (m3m)H-M symbol: (4/m32/m),Unknown,"Colorless, white, pale gray; may be pale yellow to brown, if impure.","Crystals skeletal or dendritic; massive, encrustations",On {111},Imperfect on {111},Conchoidal,1–2,Vitreous,White,Transparent,1.535,Isotropic,n = 1.639,Weak after deformation,Unknown,Unknown,Inwater,Unknown,Unknown
Saleeite,Phosphate minerals,Monoclinic 2/m,Mg(UO2)2(PO4)2·10(H2O),Unknown,Monoclinic,Unknown,Unknown,"Lemon-yellow, straw-yellow, greenish yellow","Crystals are square plates, composite, flattened on {001}, with {001}, {100}, {120}, {012} (pseudotetragonal indices), to 2.5 cm; commonly in subparallel lamellar aggregates.",Unknown,"On {001}, perfect; on {010}, {110}, indistinct",Unknown,Unknown,Adamantine to waxy,Unknown,Transparent to opaque,3.27,Biaxial (−) typically nearly uniaxial,nα = 1.554 – 1.559 nβ = 1.570 – 1.582 nγ = 1.571 – 1.585,δ = 0.027,X = colorless; Z = pale greenish yellow,Unknown,Unknown,Unknown,Radioactive
Saliotite,Phyllosilicateminerals,C2/m,"(Li,Na)Al3(AlSi3O10)(OH)5",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Colorless to white,Unknown,Unknown,Perfect on {001},Unknown,2 - 3,Pearly,White,Transparent,2.75,Biaxial (-),nα= 1.580 - 1.590 nβ= 1.580 - 1.590 nγ= 1.590 - 1.600,δ = 0.010,Unknown,Unknown,Unknown,Unknown,Unknown
Salzburgite,Sulfosaltmineral,Pmc21,Pb2Cu2Bi7S12,Unknown,Orthorhombic,Pyramidal (mm2)H-M symbol: (mm2),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Samarskite-(Y),Oxide minerals,Pbcn,"(YFe3+Fe2+U,Th,Ca)2(Nb,Ta)2O8",Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Black, may have a brownish tint, brown to yellowish brown due to alteration; light to dark brown in transmitted light",Crystals elongated with pyramidal terminations; commonly granular to massive,Unknown,"{010}, indistinct",Conchoidal fragments,5–6,Vitreous – resinous,Reddish brown,"Opaque, transparent in thin fragments",Unknown,Appears isotropic,n = 2.1–2.2,Unknown,Unknown,Unknown,Unknown,Unknown,Radioactive(Greater than 70 Bq / gram)
Sampleite,Phosphate minerals,P21/n orP21/c,875.95 g/mol,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Light blue to blue-green,"Aggregates, lath, rosette",Unknown,Perfect on {010}; good on {100} and {001},Unknown,4,Pearly,Light Blue,Transparent,3.2,Biaxial (−),nα= 1.629 nβ= 1.677 nγ= 1.679,δ = 0.050,"X = deep blue, blue-green; Y = light blue, turquoise blue; Z = turquoise-blue, colorless",Unknown,Unknown,Unknown,Unknown
Samsonite,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Samuelsonite,Phosphate minerals,C2/m,"(Ca,Ba)Ca8Fe22+Mn22+Al2[(OH)2(PO4)10]",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Pale yellow,"Prismatic crystals, elongated and striated",Unknown,Fair on {001},Unknown,5,"Adamantine, Sub-Adamantine",White,Transparent,3.353,Biaxial (+),nα = 1.645 - 1.648 nβ = 1.650 - 1.655 nγ = 1.655 - 1.667,0.0100-0.0190,Unknown,Unknown,Unknown,Unknown,Unknown
Sanbornite,Phyllosilicateminerals,Pmcn,273.50 g/mol,Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Colorless, White",Platy modulated layers,Unknown,Perfect,Unknown,5,Vitreous,White,Transparent to translucent,3.74,Biaxial (−),"nα= 1.597,nβ= 1.616,nγ= 1.624",δ = 0.0270,Unknown,Unknown,Unknown,Unknown,Unknown
Saneroite,Minerals,Unknown,"Na2(Mn,Mn)10Si11VO34(OH)4",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Sanguite,Halides,2/ m - prismatic,KCuCl₃,Unknown,monoclinic,2/m,Unknown,bright red,Unknown,polysynthetic twinning has been observed.,Perfect,"staggered, step-like",Unknown,Vitreous,reddish orange,Unknown,Unknown,biaxial,n α = 1.653(3) n β = 1.780(6) n γ = 1.900(8),δ = 0.247,strong,Unknown,Unknown,Unknown,Unknown
Sanidine,Tectosilicateminerals,B2/m(no. 12),K(AlSi3O8),Grandfathered (before 1959),Monoclinic,Prismatic(2/m),Unknown,Colorless to white,"Tabular crystals, may be acicular",Carlsbad twinning common,"{001} perfect, {010} good",Uneven,6,"Vitreous, pearly on cleavage",White,Transparent to translucent,2.52,Biaxial (−),nα= 1.518–1.525nβ= 1.523–1.530nγ= 1.525–1.531,δ = 0.007,Unknown,Unknown,Unknown,Unknown,Unknown
Santabarbaraite,Phosphate minerals,Unknown,Fe3+3(PO4)2(OH)3·5H2O,Unknown,Amorphous,Unknown,Unknown,Brown to light brown,Elongated or flattened prisms,None,"None, parting along {010} of replaced phase",Conchoidal,Not determined,Vitreous to greasy,yellow-umber,Translucent,2.24,isotropic,n = 1.659,Unknown,Unknown,Unknown,Unknown,Unknown,Pseudomorphism
Santite,Nesoborates,Aba2,KB5O8· 4H2O,Unknown,Orthorhombic,Pyramidal (mm2)H-M symbol: (mm2),Unknown,Colourless,Unknown,Unknown,Unknown,Unknown,Unknown,Vitreous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Saponite,Phyllosilicateminerals,C2/m,"Ca0.25(Mg,Fe)3((Si,Al)4O10)(OH)2·n(H2O)",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"White, yellow, red, green, blue",Granular – Massive,Unknown,{001} perfect,Unknown,1.5,"Greasy, dull",White,Translucent,2.24–2.30,Biaxial (−),nα= 1.479 – 1.490 nβ= 1.510 – 1.525 nγ= 1.511 – 1.527,δ = 0.032 – 0.037,"X = colorless, light yellow to green-brown; Y = Z = colorless, greenish brown to dark brown",Unknown,Unknown,Unknown,Unknown
Sapphirine,Silicate mineral,"1A polytype:P1Other polytypes: 3A, 5A, 2M, 4M","(Mg,Al)8(Al,Si)6O20",Unknown,2M polytype:monoclinic1A polytype:triclinic,2M polytype: prismatic (2/m)1A polytype: pinacoidal (1),Unknown,Unknown,"Anhedral, granular, tabular",Uncommon on {001},"Poor to indistinct on {100}, {001}, and {010}",Subconchoidal to uneven,7.5,Unknown,White,Transparent to translucent,3.40–3.58,Biaxial (−),nα= 1.701 – 1.729 nβ= 1.703 – 1.732 nγ= 1.705 – 1.734,δ = 0.004 – 0.005,"X = colorless, pale reddish, yellowish green, pale yellow; Y = sky-blue, lavender-blue, bluish green; Z = blue, sapphire-blue, dark blue",Unknown,Unknown,Unknown,Unknown
Sarabauite,Sulfide mineral,C2/c,CaSb10O10S6,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Carmine red,Red tabular crystals,Unknown,None,Conchoidal,4,Resinous,Orange,Translucent,4.8,Biaxial (–),Unknown,Unknown,x is reddish yellow; y is brownish red,Unknown,Unknown,Unknown,Unknown
Sarcolite,Minerals,I4/m,"Na4Ca12Al8Si12O46(SiO4,PO4)(OH,H2O)4(CO3,Cl)",Unknown,Tetragonal,DipyramidalH-M Symbol: 4/m,Unknown,"Flesh-pink, flesh-red, red, reddish white, colourless",Unknown,Unknown,None,Conchoidal,6,Vitreous,White,Translucent,2.91 - 2.96,Uniaxial (+),nω= 1.604(1)nε= 1.615(3),0.011,Unknown,Unknown,"HF, HCl","Ti, Fe, Mn, Mg, Sr, K, Cl, P, S",Unknown
Sarkinite,Arsenate minerals,P2m[1],Mn2(AsO4)(OH)[1],Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Red to yellow[1],Tabular[3]or granular[1],Unknown,Distinct on {100}[1],"Irregular/Uneven,Conchoidal[1]",4–5[1],Greasy[1],Red to yellow[1],Semitransparent[4],Unknown,Biaxial (−)[1],"nα=1.793, nβ=1.807, nγ=1.809[1]",δ = 0.016[1],Weak[1],Unknown,Readily soluble in dilute acids[1],Unknown,Unknown
Sassolite,Borate mineral,P1,H3BO3,Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,Unknown,As scaly pseudohexagonal crystals; ncrustations; platy; tabular; may be stalactitic,"Around [001] as twin axis, common","Perfect on {001}, micaceous",Unknown,1,Unknown,White,Transparent,1.46–1.50,Biaxial (−),nα= 1.340 nβ= 1.456 nγ= 1.459,δ = 0.119,Unknown,Unknown,Soluble inwater,Unknown,Unknown
Satterlyite,Phosphate minerals,"P31m(no. 162),P31m(no. 157), orP312(no. 149)","(Fe2+,Mg,Fe3+)2(PO4)(OH)",Unknown,Trigonal,Ditrigonal pyramidal (3m)H-M symbol: (3m),Unknown,Light brown to light yellow,"Aggregate, nodular and radial",Unknown,None,Unknown,4.5–5,Vitreous,Pale yellow,Transparent,3.68,Uniaxial (−),nω= 1.721 nε= 1.719,δ = 0.002,Unknown,Unknown,Unknown,Unknown,Unknown
Sauconite,Phyllosilicateminerals,C2/m,Na0.3Zn3(SiAl)4O10(OH)2·4H2O,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Reddish brown, brown, brownish yellow, mottled",Clayey; as small micaceous plates in laminated to compact masses,Unknown,Perfect on {001},Unknown,1–2,dull,Unknown,Translucent,2.45,Biaxial (−),nα= 1.550 – 1.580 nβ= 1.590 – 1.620 nγ= 1.590 – 1.620,δ = 0.040,Unknown,Unknown,Unknown,Unknown,Unknown
Sborgite,Nesoborates,C2/c,Na[B5O6(OH)4]·3H2O,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,colorless,Unknown,Unknown,Unknown,Unknown,Unknown,vitreous,Unknown,transparent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Scapolite,Tectosilicateminerals,Scapolite group,Unknown,Unknown,Tetragonal,Unknown,Unknown,"Pink, red, blue, brown, white, grey, colourless, green, yellow, orange, purple",Unknown,Unknown,"Good, in 2 directions","Conchoidal, uneven, brittle",5.5–6,Vitreous,White,Opaque to transparent,2.6–2.74,Uniaxial (–),nω= 1.555–1.594nε= 1.526–1.565,0.004–0.038,Moderate to strong,Unknown,Unknown,Unknown,Unknown
Schäferite,Phosphate mineralBerzeliite groupGarnet structural group,Ia3d,496.57 g/mol,Unknown,Cubic,Hexoctahedral (m3m)H-M symbol: (4/m32/m),Unknown,"Red, orange-red",Octahedral crystals,Unknown,None,Conchoidal,5,Vitreous,Yellow,Transparent,Unknown,Isotropic,n = 1.96,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Scheelite,Tungstate mineral,I41/a,CaWO4,Unknown,Tetragonal,Dipyramidal (4/m)H-M symbol: (4/m),Unknown,"Colorless, white, gray, dark brown, brown, tan, pale yellow, yellow-orange, golden yellow, pale shades of orange, red, green, etc.; colorless in transmitted light and may be compositionally color zoned","Pseudo-octahedra, massive, columnar, granular","Common, penetration and contact twins, composition plane {110} or {001}","On {101}, distinct; on {112}, interrupted; on {001}, indistinct",Subconchoidal to uneven,4.5–5,Vitreous to adamantine,White,Transparent to opaque,5.9–6.1,Uniaxial (+),"nω= 1.918–1.921,nε= 1.935–1.938",δ = 0.017,Definite dichroic in yellow (yellow to orange-brown),Unknown,Soluble in alkalis. Insoluble in acids,Unknown,"Fluorescence under short-wave UV is bright blue, bluish white to yellow.  Specimens with more molybdenum tend to fluoresce white to yellow, similar to powellite. Occasionally, it fluoresces red under mid-wave UV."
Schizolite,Minerals,P1,NaCaMnSi3O8(OH),Unknown,Triclinic,Triclinic-Pinacoidal,Unknown,Pale red or pink to brownish,Bladed,Unknown,"{100} , {001}",Splintery,5.5,"Vitreous, sub-Vitreous",Unknown,"Transparent, translucent",Unknown,Biaxial (+),nα= 1.626(3) nβ= 1.630(2) nγ= 1.661(2),0.035,Non-pleochroic,Unknown,Unknown,Unknown,Unknown
Schmiederite,Selenate minerals,P21/m,Pb2Cu2(Se4+O3)(Se6+O4)(OH)4,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Pale to deep Prussian blue,Fibrous in radial clusters; may be in crusts; powdery,Unknown,Unknown,Unknown,Unknown,Subadamantine to satiny,Light blue,Transparent,5.62,Biaxial (+),nα= 1.85–1.9 nβ= 1.9–1.95 nγ= 1.95–2.1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Schoepite,Uraniumminerals,P21ca,(UO2)8O2(OH)12• 12(H2O),Unknown,Orthorhombic,Pyramidal (mm2)H-M symbol: (mm2),Unknown,"Amber, lemon- or sulfur yellow","Commonly as tabular equant, to short prismatic crystals; rarely in microcrystalline aggregates",Unknown,"[001] Perfect, [010] indistinct",Unknown,2.5,Adamantine,Yellow,Transparent to translucent,4.8,Biaxial (−),nα= 1.690 nβ= 1.714 nγ= 1.735,δ = 0.045,X = almost colorless; Y = Z = lemon-yellow to golden yellow,Unknown,Unknown,Unknown,Radioactive
Schorl,Cyclosilicate,R3m(no. 160),"(Ca,K,Na,▢)(Al,Fe,Li,Mg,Mn)3(Al,Cr,Fe,V)6(BO3)3(Si,Al,B)6O18(OH,F)4[1][2]",Unknown,Trigonal,Ditrigonal pyramidal (3m)H-M symbol: (3m),Unknown,"Most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in-between. It can also be bi-colored, or even tri-colored. Rarely, it can be found as neon green or electric blue.","Parallel and elongated;acicularprisms, sometimes radiating; massive; scattered grains (in granite)",Unknown,Indistinct,"Uneven, smallconchoidal",7.0–7.5,Vitreous[1],White,Translucenttoopaque,3.06+0.20–0.06[1],"Double-refractive, uniaxial negative[1]",nω= 1.635–1.675nε= 1.610–1.650,−0.018 to −0.040; typically about −0.020 but in dark stones it may reach −0.040[1],"Typically moderate to strong[1]Red: definite; dark red, light redGreen: strong; dark green, yellow-greenBrown: definite; dark brown, light brownBlue: strong; dark blue, light blue",Unknown,Unknown,Unknown,Unknown
Schreibersite,Phosphide mineralMeteorite mineral,I4,"(Fe,Ni)3P",Unknown,Tetragonal,Disphenoidal (4)H-M symbol: (4),Unknown,"Silver-white to tin-white, tarnishes brass-yellow or brown","Rarely in crystals, hoppered, plates, tablets, rods or needles",Unknown,"{001} perfect, {010} indistinct, {110} indistinct",Unknown,6.5–7,Brilliant metallic,Dark gray,Opaque,7.0–7.3,Uniaxial,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Schreyerite,Oxide mineral,C2/c,V2Ti3O9,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Reddish brown; gray in reflected light,"As lamellae and microscopic grains, exsolved within rutile crystals","Polysynthetic, universal",Unknown,Unknown,7,Metallic,Unknown,Opaque,Unknown,Biaxial,n = 2.700,Unknown,Weak; yellow-brown to reddish brown,Unknown,Unknown,Unknown,Unknown
Schröckingerite,Carbonate minerals,P1,NaCa3(UO2)[F|(CO3)3(SO4)]·10(H2O)[1],Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Radioactive
Schwertmannite,Sulfate minerals,TetragonalH-M symbol: (4/m)Space group:P4/m,Fe8O8(OH)6(SO4) ·nH2O,Unknown,TetragonalDipyramidal class,Unknown,Unknown,brownish yellow,Unknown,Unknown,Unknown,Unknown,Unknown,earthy,yellow,opaque,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Scolecite,Tectosilicateminerals,Cc,392.34 g/mol,Unknown,Monoclinic,Domatic (m)(sameH-M symbol),Unknown,"Colorless white, pink, salmon, red or green","Thin prismatic needles, radiating groups and fibrous masses","Common on {100}, twin axis [001], rare on {001} and {110}[2]",Perfect on {110} and {110},Irregular/uneven,5 to5+1⁄2,"Vitreous, silky when fibrous",White,Transparent to translucent,2.16 to 2.40,Biaxial (−),Nx= 1.507 to 1.513Ny= 1.516 to 1.520Nz= 1.517 to 1.521,Unknown,X: colourless Y: colourless Z: colourless[3],Unknown,Soluble in common acids.,Unknown,"Pyroelectricandpiezoelectric, sometimes fluorescent yellow to brown in LW and SW UV. Not radioactive."
Scorodite,Arsenate minerals,Pcab,FeAsO4·2H2O,Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Green, blue-green, grey, grayish-green, blue, yellow-brown, nearly colorless, violet",Unknown,Unknown,Unknown,Sub-conchoidal,3.5–4,"Sub-adamantine, vitreous, resinous",Greenish-white,Translucent,Unknown,Biaxial (+),Unknown,Unknown,Weak,Unknown,Unknown,Unknown,Unknown
Scorzalite,Phosphate minerals,P2/c,"(Fe2+,Mg)Al2(OH,PO4)2",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Dark blue,"Granular, massive, dipyramidal crystals","Multiple, lamellar","Good on {110}, indistinct on {101}",Uneven,6,Vitreous,White,Semitransparent,3.33,Biaxial (−),nα= 1.626 – 1.645 nβ= 1.654 – 1.674 nγ= 1.663 – 1.680,δ = 0.037,Visible X = colorless; Y = Z = blue,Unknown,Unknown,Unknown,Unknown
Scotlandite,Sulfite,P21/m(no. 11),287.26,Unknown,Monoclinic,2/m - Prismatic,Unknown,"Pale yellow, greyish-white, colorless, transparent",Spear-shaped crystals,Unknown,Perfect along {100} and good along {010},Unknown,2,"Adamantine, Pearly",Unknown,Transparent,Unknown,Biaxial positive,nα= 2.035 nβ= 2.040 nγ= 2.085,δ = 0.050,Unknown,Unknown,Unknown,Unknown,Unknown
Scrutinyite,Oxide mineral,Pbcn,239.20 g/mol,Unknown,Orthorhombic,Dipyramidal (mmm)H–M Symbol: (2/m 2/m 2/m),Unknown,Dark reddish brown,"Crystalline, platy",Unknown,"{100} perfect, {010} imperfect",Brittle,Unknown,Sub-metallic,Dark brown,Transparent to translucent,9.867 (calculated),Biaxial,n > 2,Unknown,Unknown,Unknown,Unknown,Unknown,"Non-fluorescent, nonmagnetic"
